x,y
5.777011965229004176e+00,-2.650252335329145170e-02
1.479333668811187108e+00,1.452241304717757586e+00
1.231156619982160372e+01,3.886745076300062718e-01
6.259065753818726652e-01,8.897506099901000276e-01
1.136287530923462974e+01,-5.381493471689339225e-01
8.618282124167961911e+00,1.138383984128692239e+00
9.553185036270104291e+00,2.032117793071311906e-01
1.096164588071872537e+01,-5.119532816829833743e-01
3.878834174954389979e+00,-5.680378416996889612e-01
6.543485546286115451e+00,9.818197546688105515e-01
9.962324650248115532e+00,4.192887330102301746e-02
9.316063323279037078e+00,3.629344531824711395e-01
6.492956150950798255e-01,8.690036818163510146e-01
2.521010323089471594e+00,8.725064098924837364e-01
1.436770653219235694e+00,1.810104225802369626e+00
4.225747952020094012e+00,-4.923905618161388276e-01
9.941137756818427818e+00,-4.233385658961363873e-01
5.555875388056426445e+00,1.451736659376324790e-01
2.693044698825464600e+00,8.197686113318503054e-01
8.653166262128047848e+00,1.130372172951364274e+00
4.004808828174557966e+00,-1.956784762336681860e-01
6.769687374439041783e+00,1.423396988639061611e+00
1.459005891333774674e+00,1.689229502587968668e+00
3.698163792371376157e-01,1.217254498652533989e+00
1.002114088710818640e+00,9.443876769768150270e-01
2.653705305482548571e+00,6.165800733062094530e-01
7.612307863684263376e-01,1.047279794343265458e+00
6.817747589671255604e+00,5.775622430778486471e-01
8.965974863295764763e+00,4.789741975675447794e-01
9.570139895675719544e+00,-7.252598578236646443e-02
5.609774779204408368e+00,-4.581632611939923105e-01
1.195002501549874019e+01,2.668974521764126973e-01
3.908429817956339924e+00,-5.614019340348666010e-01
9.710703534405535464e+00,3.719951800445669976e-02
1.125051315506555305e+01,-7.270361988537310527e-02
6.471829772734635888e+00,5.852448227924886837e-01
5.702805059306509605e+00,3.752321229439238293e-01
4.656026049359094365e+00,-2.376447508220586036e-01
1.220034849376126296e+01,1.949559972153693810e-01
7.517279222296294527e+00,1.144138208593226569e+00
4.393051283025371845e+00,-3.180585857532055583e-01
3.970447992586174202e+00,-3.235991559746220769e-01
9.765639353219768282e+00,4.421957504593934662e-01
1.186133712444961930e+01,2.613656780245765532e-01
1.132964927927675891e+00,1.680444128470373277e+00
5.929492239028532730e+00,-1.180198343095623659e-01
7.331359728110369289e+00,1.357767244652597460e+00
6.825309025255637430e+00,9.377539051241045032e-01
1.001930391691215583e+01,3.089844706384510253e-01
2.839245898471194796e+00,7.982065025161313443e-01
1.156166561648804070e+01,-1.728108828954819653e-01
1.058521861638665840e+01,-6.343185766761624267e-01
4.098187859247085285e+00,-4.919243450080847957e-01
7.163592572721039886e+00,1.540321463721276318e+00
4.925093513951179780e+00,-6.154022096576438061e-01
4.135330470465042353e-03,4.165232099802501087e-01
8.855701412514930260e-01,1.379936409705164735e+00
1.299783341681320037e+00,1.636696073835617771e+00
4.854750657542246661e-01,5.565339091470489219e-01
7.942110639371779079e+00,1.871089166112031243e+00
1.233092426618211057e+01,1.286738072038962066e-02
1.109913522183234136e+01,-2.509720743864459758e-01
7.201652125256162940e+00,1.437117579751480800e+00
1.089563135126562976e+01,-5.521990380753208916e-01
6.402605281843054996e+00,5.701948287251751291e-01
9.102997793582197517e+00,1.116629159291999018e+00
6.220928463534691311e+00,3.649269378298530264e-01
2.208668801831856765e+00,8.372884529985946678e-01
6.823097361851900189e+00,1.464708090680310049e+00
9.977442599551716640e+00,-4.441863231422832348e-01
7.217657760983455795e-01,9.714733749418867914e-01
1.016142212939855050e+01,2.734109747085977649e-02
1.238585930601283280e+01,3.180504589772242818e-01
9.326339859392058784e+00,6.137300843601063427e-01
2.991417689573763194e+00,3.494584204340349665e-01
2.283758020404049294e+00,1.511835682799679503e+00
6.420805469646327701e+00,9.444471901410030901e-01
1.109994830589483250e+01,-7.838284018735590664e-01
8.421682858122272464e+00,1.058896399404273714e+00
5.785692470581570213e+00,-1.898626956092887563e-01
7.559557389261691185e+00,1.557055206495049360e+00
2.862901478116127496e+00,8.414690753185087857e-01
6.978071892491185757e+00,8.748645188421939611e-01
1.217819858079160156e+01,-1.393642715543760846e-01
1.356768104280458243e+00,1.014065770747217821e+00
9.539616262910771027e+00,6.568206271598556745e-01
7.340091018806725209e+00,1.435030658875940723e+00
1.622246279184792916e+00,1.871260759602118906e+00
8.017286203128062283e+00,1.548150416136374385e+00
1.258753374090707311e+00,1.299665932712813277e+00
7.121657155153822139e+00,1.714771054622531210e+00
3.985025245523717619e+00,-4.631019404085522373e-01
5.491069838345077336e+00,-7.079001457782433393e-01
1.789320608338347551e-01,1.067481183891638263e+00
1.125710486555175116e+01,-1.109962468385407020e-01
5.096929969200965083e+00,-4.331153796625745178e-01
4.858462788645662833e+00,-8.104920973637139703e-01
3.097457252891600010e+00,3.446753267911646379e-01
4.216539538724791925e+00,-6.847014891248984769e-01
6.768532606674314778e+00,1.431890419122948455e+00
1.082901914319897330e+01,-5.722820191354105468e-02
4.305326310416883184e-01,4.687550291121386770e-01
7.388855055423560358e+00,1.038397238514656706e+00
4.022111450696985280e+00,-6.721273434439409833e-01
2.710214877771905950e+00,1.135328267948336300e+00
8.821071983297041896e+00,9.297548108822029089e-01
9.840647948438434156e+00,1.367587861281249761e-01
1.215715246893572221e+01,-2.128824616078795473e-01
5.641423891751802255e-01,6.142382687108900452e-01
1.919406950182172666e+00,1.733645165196591398e+00
1.190795593825612997e+01,-4.433262210380147783e-01
1.946442153817870890e+00,1.601663475169145867e+00
5.912728253863511085e+00,4.544458465420673776e-01
1.092504248786914189e+01,-5.831018860400103421e-01
5.586582627579852023e+00,-4.605102774706050228e-01
6.028393665818911451e+00,-1.089406472287254291e-01
4.691433021369777023e+00,-1.237380502121758763e-01
8.699146837286899636e-01,9.865337169364246650e-01
1.501962501930526717e+00,1.282237181667371662e+00
7.400522460694805460e+00,1.858594566915592106e+00
1.212873657080938550e+01,-5.695852216854369043e-02
8.972913107229830487e+00,5.614123617890407481e-01
2.589381566604973539e+00,8.954364675061794454e-01
7.778892792109991738e+00,1.255118969906664050e+00
1.049214202713468325e+01,-3.550650908016749208e-01
5.458961497861425372e+00,-2.841543377687341110e-01
1.588722637657930203e+00,1.435460189531048369e+00
